State,MetalLevel,RatingAreaId,Age,IndividualRate
AK,Gold,Rating Area 3,23,526
AK,Gold,Rating Area 3,24,526
AK,Gold,Rating Area 3,26,538
AK,Gold,Rating Area 1,29,574
AK,Gold,Rating Area 2,29,603
AK,Gold,Rating Area 3,32,622
AK,Gold,Rating Area 3,34,638
AK,Gold,Rating Area 3,35,642
AK,Gold,Rating Area 1,36,631
AK,Gold,Rating Area 2,36,663
AK,Gold,Rating Area 3,37,651
AK,Gold,Rating Area 2,38,671
AK,Gold,Rating Area 1,39,647
AK,Gold,Rating Area 2,39,680
AK,Gold,Rating Area 3,40,672
AK,Gold,Rating Area 1,42,679
AK,Gold,Rating Area 2,42,714
AK,Gold,Rating Area 1,44,716
AK,Gold,Rating Area 2,44,753
AK,Gold,Rating Area 3,45,759
AK,Gold,Rating Area 2,49,919
AK,Gold,Rating Area 3,50,939
AK,Gold,Rating Area 1,51,956
AK,Gold,Rating Area 2,51,1005
AK,Gold,Rating Area 3,53,1073
AK,Gold,Rating Area 2,54,1151
AK,Gold,Rating Area 1,58,1306
AK,Gold,Rating Area 3,60,1427
AK,Gold,Rating Area 3,61,1477
AK,Gold,Rating Area 3,64,1577
AK,Silver,Rating Area 1,14,414
AK,Silver,Rating Area 1,15,450.5
AK,Bronze,Rating Area 3,14,288
AK,Bronze,Rating Area 3,15,313.5
AK,Bronze,Rating Area 3,16,323
AK,Bronze,Rating Area 2,17,341
AK,Bronze,Rating Area 3,20,365
AK,Bronze,Rating Area 1,25,368
AK,Bronze,Rating Area 3,26,385.5
AK,Bronze,Rating Area 2,29,431.5
AK,Bronze,Rating Area 1,30,416
AK,Bronze,Rating Area 1,33,439.5
AK,Bronze,Rating Area 2,33,462
AK,Bronze,Rating Area 3,36,462.5
AK,Bronze,Rating Area 3,38,468.5
AK,Bronze,Rating Area 3,39,475
AK,Bronze,Rating Area 2,42,510.5
AK,Bronze,Rating Area 1,43,497.5
AK,Bronze,Rating Area 2,43,523
AK,Bronze,Rating Area 3,44,525
AK,Bronze,Rating Area 1,46,550
AK,Bronze,Rating Area 1,48,599.5
AK,Bronze,Rating Area 2,48,630.5
AK,Bronze,Rating Area 3,49,641.5
AK,Bronze,Rating Area 1,53,748
AK,Bronze,Rating Area 3,55,838.5
AK,Bronze,Rating Area 1,56,855.5
AK,Bronze,Rating Area 2,56,899
AK,Bronze,Rating Area 3,58,958
AK,Bronze,Rating Area 1,59,954.5
AK,Bronze,Rating Area 2,59,1003
AK,Bronze,Rating Area 3,60,1020.5
AK,Bronze,Rating Area 1,63,1082.5
AK,Gold,Rating Area 3,14,402
AK,Gold,Rating Area 3,17,465
AK,Gold,Rating Area 2,18,492
AK,Gold,Rating Area 1,21,513
AK,Gold,Rating Area 1,24,513
AK,Gold,Rating Area 1,27,537
AK,Gold,Rating Area 2,27,565
AK,Gold,Rating Area 2,28,586
AK,Gold,Rating Area 3,29,588
AK,Gold,Rating Area 2,31,625
AK,Gold,Rating Area 3,33,630
AK,Gold,Rating Area 1,34,622
AK,Gold,Rating Area 2,34,654
AK,Gold,Rating Area 1,35,626
AK,Gold,Rating Area 1,37,635
AK,Gold,Rating Area 2,37,667
AK,Gold,Rating Area 2,41,702
AK,Gold,Rating Area 3,42,697
AK,Gold,Rating Area 3,43,713
AK,Gold,Rating Area 1,45,740
AK,Gold,Rating Area 1,47,801
AK,Gold,Rating Area 2,47,842
AK,Gold,Rating Area 3,48,860
AK,Gold,Rating Area 1,50,916
AK,Gold,Rating Area 3,52,1026
AK,Gold,Rating Area 1,53,1046
AK,Gold,Rating Area 2,53,1099
AK,Gold,Rating Area 3,55,1172
AK,Gold,Rating Area 1,56,1196
AK,Gold,Rating Area 2,56,1257
AK,Gold,Rating Area 3,58,1340
AK,Gold,Rating Area 1,59,1334
AK,Gold,Rating Area 2,59,1403
AK,Gold,Rating Area 2,62,1548
AK,Gold,Rating Area 1,64,1538
AK,Silver,Rating Area 3,14,424
AK,Silver,Rating Area 3,17,490.5
AK,Silver,Rating Area 2,18,519
AK,Silver,Rating Area 1,21,541
AK,Silver,Rating Area 1,24,541
AK,Silver,Rating Area 1,27,567
AK,Silver,Rating Area 2,27,595.5
AK,Silver,Rating Area 2,28,617.5
AK,Silver,Rating Area 3,29,620.5
AK,Silver,Rating Area 2,30,645.5
AK,Silver,Rating Area 1,31,626.5
AK,Silver,Rating Area 2,31,658.5
AK,Silver,Rating Area 1,34,656.5
AK,Silver,Rating Area 1,37,669.5
AK,Silver,Rating Area 2,37,704
AK,Silver,Rating Area 2,41,740
AK,Silver,Rating Area 3,42,735
AK,Silver,Rating Area 3,43,752.5
AK,Silver,Rating Area 1,45,780.5
AK,Silver,Rating Area 1,47,845
AK,Silver,Rating Area 2,47,888.5
AK,Silver,Rating Area 3,48,906.5
AK,Silver,Rating Area 1,50,966
AK,Silver,Rating Area 1,48,884
AK,Silver,Rating Area 2,48,929.5
AK,Silver,Rating Area 3,49,946
AK,Silver,Rating Area 3,51,1034.5
AK,Silver,Rating Area 1,52,1055.5
AK,Silver,Rating Area 2,52,1109.5
AK,Silver,Rating Area 3,54,1184
AK,Silver,Rating Area 1,55,1205.5
AK,Silver,Rating Area 2,55,1268
AK,Silver,Rating Area 3,57,1351.5
AK,Silver,Rating Area 2,58,1448.5
AK,Silver,Rating Area 1,62,1553
AK,Silver,Rating Area 1,63,1596
AK,Silver,Rating Area 2,63,1678
AK,Silver,Rating Area 2,64,1704
AL,Bronze,Rating Area 3,16,172.0666
AL,Bronze,Rating Area 3,19,172.0666
AL,Bronze,Rating Area 3,20,172.0666
AL,Bronze,Rating Area 3,22,270.9733
AL,Bronze,Rating Area 3,29,303.2233
AL,Bronze,Rating Area 3,32,320.5633
AL,Bronze,Rating Area 3,34,328.9666
AL,Bronze,Rating Area 3,35,331.1333
AL,Bronze,Rating Area 3,40,346.3066
AL,Bronze,Rating Area 3,45,391.29
AL,Bronze,Rating Area 3,51,505.37
AL,Bronze,Rating Area 3,54,578.5333
AL,Bronze,Rating Area 3,57,660.3666
AL,Bronze,Rating Area 3,60,735.4233
AL,Bronze,Rating Area 3,61,761.44
AL,Catastrophic,Rating Area 13,14,143.88
AL,Catastrophic,Rating Area 5,14,142.35
AL,Catastrophic,Rating Area 6,14,142.35
AL,Catastrophic,Rating Area 3,15,142.38
AL,Catastrophic,Rating Area 9,15,159.18
AL,Catastrophic,Rating Area 13,16,143.88
AL,Catastrophic,Rating Area 5,16,142.35
AL,Catastrophic,Rating Area 6,16,142.35
AL,Catastrophic,Rating Area 11,17,153.06
AL,Catastrophic,Rating Area 3,17,142.38
AL,Catastrophic,Rating Area 4,17,157.65
AL,Catastrophic,Rating Area 9,17,159.18
AL,Catastrophic,Rating Area 1,18,142.35
AL,Catastrophic,Rating Area 10,18,146.94
AL,Catastrophic,Rating Area 12,18,139.28
AL,Catastrophic,Rating Area 2,18,157.65
AL,Catastrophic,Rating Area 7,18,142.35
AL,Catastrophic,Rating Area 8,18,142.35
AL,Catastrophic,Rating Area 13,19,143.88
AL,Catastrophic,Rating Area 5,19,142.35
AL,Catastrophic,Rating Area 6,19,142.35
AL,Catastrophic,Rating Area 9,20,159.18
AL,Catastrophic,Rating Area 13,21,226.58
AL,Catastrophic,Rating Area 6,21,224.17
AL,Catastrophic,Rating Area 11,22,241.04
AL,Catastrophic,Rating Area 3,22,224.22
AL,Catastrophic,Rating Area 4,22,248.27
AL,Catastrophic,Rating Area 9,22,250.68
AL,Catastrophic,Rating Area 13,23,226.58
AL,Catastrophic,Rating Area 5,23,224.17
AL,Catastrophic,Rating Area 6,23,224.17
AL,Catastrophic,Rating Area 13,24,226.58
AL,Catastrophic,Rating Area 6,24,224.17
AL,Catastrophic,Rating Area 10,25,232.32
AL,Catastrophic,Rating Area 12,25,220.22
AL,Catastrophic,Rating Area 2,25,249.26
AL,Catastrophic,Rating Area 7,25,225.06
AL,Catastrophic,Rating Area 8,25,225.06
AL,Catastrophic,Rating Area 13,26,232.02
AL,Catastrophic,Rating Area 5,26,229.55
AL,Catastrophic,Rating Area 6,26,229.55
AL,Catastrophic,Rating Area 1,27,234.93
AL,Catastrophic,Rating Area 12,27,229.88
AL,Catastrophic,Rating Area 2,27,260.19
AL,Catastrophic,Rating Area 7,27,234.93
AL,Catastrophic,Rating Area 8,27,234.93
AL,Catastrophic,Rating Area 1,28,243.67
AL,Catastrophic,Rating Area 10,28,251.53
AL,Catastrophic,Rating Area 12,28,238.43
AL,Catastrophic,Rating Area 2,28,269.87
AK,Silver,Rating Area 3,52,1082.5
AK,Silver,Rating Area 1,53,1103
AK,Silver,Rating Area 2,53,1159.5
AK,Silver,Rating Area 3,55,1236.5
AK,Silver,Rating Area 1,56,1261
AK,Silver,Rating Area 2,56,1326.5
AK,Silver,Rating Area 3,58,1413
AK,Silver,Rating Area 1,59,1407
AK,Silver,Rating Area 2,59,1479.5
AK,Silver,Rating Area 2,62,1633
AK,Silver,Rating Area 1,64,1622
AL,Bronze,Rating Area 3,18,172.0666
AL,Bronze,Rating Area 3,21,270.9733
AL,Bronze,Rating Area 3,23,270.9733
AL,Bronze,Rating Area 3,24,270.9733
AL,Bronze,Rating Area 3,26,277.48
AL,Bronze,Rating Area 3,30,307.5566
AL,Bronze,Rating Area 3,31,314.0633
AL,Bronze,Rating Area 3,37,335.47
AL,Bronze,Rating Area 3,41,352.8066
AL,Bronze,Rating Area 3,47,423.5366
AL,Bronze,Rating Area 3,50,483.9633
AL,Bronze,Rating Area 3,62,778.5133
AL,Bronze,Rating Area 3,64,812.9
AL,Catastrophic,Rating Area 1,14,142.35
AL,Catastrophic,Rating Area 2,14,157.65
AL,Catastrophic,Rating Area 7,14,142.35
AL,Catastrophic,Rating Area 8,14,142.35
AL,Catastrophic,Rating Area 13,15,143.88
AL,Catastrophic,Rating Area 4,15,157.65
AL,Catastrophic,Rating Area 8,15,142.35
AL,Catastrophic,Rating Area 12,16,139.28
AL,Catastrophic,Rating Area 3,16,142.38
AL,Catastrophic,Rating Area 4,16,157.65
AL,Catastrophic,Rating Area 9,16,159.18
AL,Catastrophic,Rating Area 1,17,142.35
AL,Catastrophic,Rating Area 13,17,143.88
AL,Catastrophic,Rating Area 2,17,157.65
AL,Catastrophic,Rating Area 7,17,142.35
AL,Catastrophic,Rating Area 8,17,142.35
AL,Catastrophic,Rating Area 11,18,153.06
AL,Catastrophic,Rating Area 5,18,142.35
AL,Catastrophic,Rating Area 6,18,142.35
AL,Catastrophic,Rating Area 12,19,139.28
AL,Catastrophic,Rating Area 3,19,142.38
AL,Catastrophic,Rating Area 4,19,157.65
AL,Catastrophic,Rating Area 9,19,159.18
AL,Catastrophic,Rating Area 13,20,143.88
AL,Catastrophic,Rating Area 3,20,142.38
AL,Catastrophic,Rating Area 4,20,157.65
AL,Catastrophic,Rating Area 10,21,231.4
AL,Catastrophic,Rating Area 12,21,219.35
AL,Catastrophic,Rating Area 5,21,224.17
AL,Catastrophic,Rating Area 13,22,226.58
AL,Catastrophic,Rating Area 8,22,224.17
AL,Catastrophic,Rating Area 12,23,219.35
AL,Catastrophic,Rating Area 9,23,250.68
AL,Catastrophic,Rating Area 10,24,231.4
AL,Catastrophic,Rating Area 12,24,219.35
AL,Catastrophic,Rating Area 5,24,224.17
AL,Catastrophic,Rating Area 1,25,225.06
AL,Catastrophic,Rating Area 11,25,242
AL,Catastrophic,Rating Area 12,26,224.61
AL,Catastrophic,Rating Area 3,26,229.6
AL,Catastrophic,Rating Area 4,26,254.23
AL,Catastrophic,Rating Area 9,26,256.7
AL,Catastrophic,Rating Area 10,27,242.51
AL,Catastrophic,Rating Area 11,27,252.61
AL,Catastrophic,Rating Area 5,27,234.93
AL,Catastrophic,Rating Area 6,27,234.93
AL,Catastrophic,Rating Area 11,28,262.01
AL,Catastrophic,Rating Area 6,28,243.67
AL,Catastrophic,Rating Area 13,29,253.54
AL,Catastrophic,Rating Area 2,29,277.82
AL,Catastrophic,Rating Area 7,29,250.84
AL,Catastrophic,Rating Area 8,29,250.84
AL,Catastrophic,Rating Area 10,30,262.64
AL,Catastrophic,Rating Area 12,30,248.96
AL,Catastrophic,Rating Area 6,30,254.43
AK,Silver,Rating Area 2,24,568
AK,Silver,Rating Area 3,25,557
AK,Silver,Rating Area 1,26,554
AK,Silver,Rating Area 2,26,582
AK,Silver,Rating Area 3,27,581
AK,Silver,Rating Area 3,28,602.5
AK,Silver,Rating Area 3,30,629.5
AK,Silver,Rating Area 3,31,642.5
AK,Silver,Rating Area 1,32,639.5
AK,Silver,Rating Area 2,32,672.5
AK,Silver,Rating Area 3,33,664.5
AK,Silver,Rating Area 2,34,690
AK,Silver,Rating Area 1,35,660.5
AK,Silver,Rating Area 2,35,695
AK,Silver,Rating Area 1,38,673.5
AK,Silver,Rating Area 1,40,691
AK,Silver,Rating Area 2,40,726.5
AK,Silver,Rating Area 3,41,722
AK,Silver,Rating Area 2,45,821
AK,Silver,Rating Area 3,46,832
AK,Silver,Rating Area 2,50,1015
AK,Silver,Rating Area 1,54,1154.5
AK,Silver,Rating Area 3,56,1294
AK,Silver,Rating Area 1,57,1317.5
AK,Silver,Rating Area 2,57,1385
AK,Silver,Rating Area 3,59,1443.5
AK,Silver,Rating Area 1,60,1467.5
AK,Silver,Rating Area 2,60,1543
AK,Silver,Rating Area 1,61,1519
AK,Silver,Rating Area 2,61,1597.5
AK,Silver,Rating Area 3,62,1593.5
AK,Silver,Rating Area 3,63,1637
AL,Bronze,Rating Area 3,27,283.9833
AL,Bronze,Rating Area 3,28,294.55
AL,Bronze,Rating Area 3,33,324.63
AL,Bronze,Rating Area 3,43,367.7133
AL,Bronze,Rating Area 3,46,406.4666
AL,Bronze,Rating Area 3,48,443.0433
AL,Bronze,Rating Area 3,53,552.79
AL,Bronze,Rating Area 3,56,632.1833
AL,Bronze,Rating Area 3,59,705.3466
AL,Bronze,Rating Area 3,63,799.92
AL,Catastrophic,Rating Area 10,14,146.94
AL,Catastrophic,Rating Area 11,14,153.06
AL,Catastrophic,Rating Area 3,14,142.38
AL,Catastrophic,Rating Area 4,14,157.65
AL,Catastrophic,Rating Area 1,15,142.35
AL,Catastrophic,Rating Area 12,15,139.28
AL,Catastrophic,Rating Area 2,15,157.65
AL,Catastrophic,Rating Area 7,15,142.35
AL,Catastrophic,Rating Area 10,16,146.94
AL,Catastrophic,Rating Area 2,16,157.65
AL,Catastrophic,Rating Area 7,16,142.35
AL,Catastrophic,Rating Area 8,16,142.35
AL,Catastrophic,Rating Area 6,17,142.35
AL,Catastrophic,Rating Area 9,18,159.18
AL,Catastrophic,Rating Area 10,19,146.94
AL,Catastrophic,Rating Area 11,19,153.06
AL,Catastrophic,Rating Area 8,19,142.35
AL,Catastrophic,Rating Area 1,20,142.35
AL,Catastrophic,Rating Area 12,20,139.28
AL,Catastrophic,Rating Area 2,20,157.65
AL,Catastrophic,Rating Area 7,20,142.35
AL,Catastrophic,Rating Area 8,20,142.35
AL,Catastrophic,Rating Area 11,21,241.04
AL,Catastrophic,Rating Area 3,21,224.22
AL,Catastrophic,Rating Area 4,21,248.27
AL,Catastrophic,Rating Area 9,21,250.68
AL,Catastrophic,Rating Area 1,22,224.17
AL,Catastrophic,Rating Area 12,22,219.35
AL,Catastrophic,Rating Area 2,22,248.27
AL,Catastrophic,Rating Area 7,22,224.17
AL,Catastrophic,Rating Area 10,23,231.4
AL,Catastrophic,Rating Area 11,23,241.04
AL,Catastrophic,Rating Area 3,23,224.22
AL,Catastrophic,Rating Area 4,23,248.27
AL,Catastrophic,Rating Area 11,24,241.04
AL,Catastrophic,Rating Area 3,24,224.22
AL,Catastrophic,Rating Area 4,24,248.27
AL,Catastrophic,Rating Area 9,24,250.68
AL,Catastrophic,Rating Area 13,25,227.48
AL,Catastrophic,Rating Area 5,25,225.06
AK,Silver,Rating Area 2,15,473.5
AK,Silver,Rating Area 3,16,476.5
AK,Silver,Rating Area 1,17,478.5
AK,Silver,Rating Area 2,17,503
AK,Silver,Rating Area 3,19,522
AK,Silver,Rating Area 1,20,524.5
AK,Silver,Rating Area 2,20,551
AK,Silver,Rating Area 3,21,555
AK,Silver,Rating Area 1,22,541
AK,Silver,Rating Area 2,22,568
AK,Silver,Rating Area 3,23,555
AK,Silver,Rating Area 3,24,555
AK,Silver,Rating Area 3,26,568
AK,Silver,Rating Area 1,29,605
AK,Silver,Rating Area 2,29,636.5
AK,Silver,Rating Area 3,32,656
AK,Silver,Rating Area 3,34,673
AK,Silver,Rating Area 3,35,677.5
AK,Silver,Rating Area 1,36,665
AK,Silver,Rating Area 2,36,699
AK,Silver,Rating Area 3,37,686.5
AK,Silver,Rating Area 2,38,708
AK,Silver,Rating Area 1,39,682
AK,Silver,Rating Area 2,39,717
AK,Silver,Rating Area 3,40,709
AK,Silver,Rating Area 1,42,716.5
AK,Silver,Rating Area 2,42,753.5
AK,Silver,Rating Area 1,44,755.5
AK,Silver,Rating Area 2,44,794
AK,Silver,Rating Area 3,45,800.5
AK,Silver,Rating Area 3,47,867
AK,Silver,Rating Area 1,49,922.5
AK,Silver,Rating Area 2,49,970
AK,Silver,Rating Area 3,50,990
AK,Silver,Rating Area 1,51,1008.5
AK,Silver,Rating Area 2,51,1060.5
AK,Silver,Rating Area 3,53,1131
AK,Silver,Rating Area 2,54,1213.5
AK,Silver,Rating Area 1,58,1377.5
AK,Silver,Rating Area 3,60,1505
AK,Silver,Rating Area 3,61,1558
AK,Silver,Rating Area 3,64,1664
AL,Bronze,Rating Area 3,14,172.0666
AL,Bronze,Rating Area 3,15,172.0666
AL,Bronze,Rating Area 3,17,172.0666
AL,Bronze,Rating Area 3,25,272.06
AL,Bronze,Rating Area 3,36,333.3
AL,Bronze,Rating Area 3,38,337.6333
AL,Bronze,Rating Area 3,39,341.97
AL,Bronze,Rating Area 3,42,359.04
AL,Bronze,Rating Area 3,44,378.5533
AL,Bronze,Rating Area 3,49,462.2833
AL,Bronze,Rating Area 3,52,528.9433
AL,Bronze,Rating Area 3,55,604.2766
AL,Bronze,Rating Area 3,58,690.4466
AL,Catastrophic,Rating Area 12,14,139.28
